CIVILSTAND;OMRÅDE;TID;INDHOLD
Fraskilt;Hele landet;2008K1;428864
Fraskilt;Hele landet;2008K2;431550
Fraskilt;Hele landet;2008K3;432713
Fraskilt;Hele landet;2008K4;432156
Fraskilt;Hele landet;2009K1;434233
Fraskilt;Hele landet;2009K2;437466
Fraskilt;Hele landet;2009K3;439378
Fraskilt;Hele landet;2009K4;439428
Fraskilt;Hele landet;2010K1;441913
Fraskilt;Hele landet;2010K2;444765
Fraskilt;Hele landet;2010K3;446333
Fraskilt;Hele landet;2010K4;447258
Fraskilt;Hele landet;2011K1;449609
Fraskilt;Hele landet;2011K2;453640
Fraskilt;Hele landet;2011K3;455105
Fraskilt;Hele landet;2011K4;455846
Fraskilt;Hele landet;2012K1;458430
Fraskilt;Hele landet;2012K2;462738
Fraskilt;Hele landet;2012K3;465210
Fraskilt;Hele landet;2012K4;466356
Fraskilt;Hele landet;2013K1;468891
Fraskilt;Hele landet;2013K2;473292
Fraskilt;Hele landet;2013K3;476507
Fraskilt;Hele landet;2013K4;477056
Fraskilt;Hele landet;2014K1;486336
Fraskilt;Hele landet;2014K2;492909
Fraskilt;Hele landet;2014K3;497069
Fraskilt;Hele landet;2014K4;500795
Fraskilt;Hele landet;2015K1;504505
Fraskilt;Hele landet;2015K2;506621
Fraskilt;Hele landet;2015K3;509922
Fraskilt;Hele landet;2015K4;513060
Fraskilt;Hele landet;2016K1;516864
Fraskilt;Hele landet;2016K2;520775
Fraskilt;Hele landet;2016K3;525180
Fraskilt;Hele landet;2016K4;526340
Fraskilt;Hele landet;2017K1;529457
Fraskilt;Hele landet;2017K2;533905
Fraskilt;Hele landet;2017K3;534656
Fraskilt;Hele landet;2017K4;535372
Fraskilt;Hele landet;2018K1;537834
Fraskilt;Hele landet;2018K2;541010
Fraskilt;Hele landet;2018K3;541999
Fraskilt;Hele landet;2018K4;542280
Fraskilt;Hele landet;2019K1;545085
Fraskilt;Hele landet;2019K2;545597
Fraskilt;Hele landet;2019K3;544731
Fraskilt;Hele landet;2019K4;543846
Fraskilt;Hele landet;2020K1;544588
Fraskilt;Hele landet;2020K2;548229
Fraskilt;Hele landet;2020K3;550715
Fraskilt;Hele landet;2020K4;552419
Fraskilt;Hele landet;2021K1;555102
Fraskilt;Hele landet;2021K2;558076
Fraskilt;Hele landet;2021K3;558017
Fraskilt;Hele landet;2021K4;558266
Fraskilt;Hele landet;2022K1;560611
