Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Military expenditure (current USD),MS.MIL.XPND.CD,Afghanistan,AFG,..,..,325807003.657989,238583385.374322,217194107.113298,268227074.235808,199518614.831897,185878310.062383,191407113.244397,198074728.574408,225835643.869378,279576954.925193
Military expenditure (current USD),MS.MIL.XPND.CD,Albania,ALB,..,45362503.3922719,197006789.236335,183204695.660212,180015508.820867,178120368.027763,132350667.590834,130853162.620284,144382688.719935,175886688.575874,197225913.318893,222022691.273437
Military expenditure (current USD),MS.MIL.XPND.CD,Algeria,DZA,904269155.155841,1881163649.11945,8652237040.00252,9326287144.03632,10161588239.1481,9724379971.92326,10412714002.8964,10217081699.5693,10073364021.3013,9583724288.3703,10303600575.2107,9708277440.22726
Military expenditure (current USD),MS.MIL.XPND.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Angola,AGO,1751153151.94866,583621333.598924,3639496373.5446,4144634851.46856,6090751702.00884,6846249313.34052,3608299114.61674,2764054937.15976,3062872913.9838,1983613748.00089,1470938717.28754,993594404.625879
Military expenditure (current USD),MS.MIL.XPND.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Argentina,ARG,2050907629.17129,3266633316.65833,4051930104.57065,4563217858.77234,5137974300.9699,4979442724.4582,5482616700.96393,4509647660.05234,5459643672.45401,3842852365.3176,3132654926.06745,2907185374.14966
Military expenditure (current USD),MS.MIL.XPND.CD,Armenia,ARM,..,68052142.0654426,390871433.902191,380571678.896068,444551859.501106,457807021.791353,447379807.506819,431396218.601658,443610413.340995,513252026.482368,652000174.824083,633960400.11526
Military expenditure (current USD),MS.MIL.XPND.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Australia,AUS,6704213698.03132,7273760312.61052,26597198655.3381,26216580848.4356,24825262588.8168,25783708714.0042,24046205860.2554,26382947050.0183,27691112416.8515,26839820914.4018,26079346314.3255,27536235375.086
Military expenditure (current USD),MS.MIL.XPND.CD,Austria,AUT,1972701681.51639,1925557398.19421,3409721208.58269,3187227448.7533,3229065841.34293,3305159256.48245,2665409781.52379,2885947386.10357,3153118623.81495,3387982011.96842,3237796686.07255,3601618602.53049
Military expenditure (current USD),MS.MIL.XPND.CD,Azerbaijan,AZE,..,119575651.71524,3080084995.80846,3246122612.63039,3367574161.19744,3427179917.06482,2900551382.15215,1396969107.65832,1528859592.29385,1672176470.58824,1854235294.11765,2237764705.88235
Military expenditure (current USD),MS.MIL.XPND.CD,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Bahrain,BHR,239361702.12766,359042553.191489,1033510638.29787,1182180851.06383,1347606382.97872,1475265957.44681,1442021276.59574,1505534574.46809,1532712765.95745,1527659574.46809,1557712765.95745,1404787234.04255
Military expenditure (current USD),MS.MIL.XPND.CD,Bangladesh,BGD,373023438.959292,740798160.005685,1801539801.81356,1823425076.37789,2047989070.87034,2355991524.71152,2815281640.95454,3239753509.63918,3266033239.35658,3649623807.57659,4348501894.83657,4558171467.63472
Military expenditure (current USD),MS.MIL.XPND.CD,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Belarus,BLR,..,140326204.73339,756277351.280397,807423262.843503,959801690.305798,1000013448.61322,709908846.054872,592182331.36682,625637816.917851,709713316.38479,773713028.716257,844512940.94623
Military expenditure (current USD),MS.MIL.XPND.CD,Belgium,BEL,4644324240.80376,3190805233.09379,5499370964.2666,5168997833.7235,5263164882.84678,5191507314.94392,4202062770.32272,4255489554.61624,4432808395.99139,4840126057.85914,4761195700.85087,5461187735.09632
Military expenditure (current USD),MS.MIL.XPND.CD,Belize,BLZ,4768750,7116125,15416250,15219125,17778875,19916875,19717625,21712887.5,23055950,24225825,24472112.5,24507025
Military expenditure (current USD),MS.MIL.XPND.CD,Benin,BEN,32817291.9765669,14496275.1553423,..,78223091.0412182,86003157.6390576,92990706.1881213,90896085.8906078,79581568.0520594,116142782.36694,90212425.9945842,68112390.3078378,71817818.4788086
Military expenditure (current USD),MS.MIL.XPND.CD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Bolivia,BOL,137065127.51571,173245422.524961,403568566.057754,499870043.41534,564409840.81042,625885094.06657,575524224.942041,552381263.903278,574070189.61778,618842083.148114,598213045.993636,608968414.952188
Military expenditure (current USD),MS.MIL.XPND.CD,Bosnia and Herzegovina,BIH,..,..,211878260.622344,197344650.21252,197617188.825905,190380454.641275,162215681.880471,157912010.578703,156258302.093929,172073317.814949,165369204.350315,167521865.889213
Military expenditure (current USD),MS.MIL.XPND.CD,Botswana,BWA,156250839.841545,184718394.612119,363324481.153045,326874161.65079,306438573.576809,346281321.660338,383739877.542959,514463449.229697,522430455.515621,498087432.354654,514720930.232558,545756780.40245
Military expenditure (current USD),MS.MIL.XPND.CD,Brazil,BRA,9236296955.40526,11344032534.9018,36936209895.8053,33987005074.0629,32874787230.5887,32660239369.4525,24617701683.0655,24224746901.4667,29261833096.6693,28177406872.2637,25906871196.7546,19736347758.5872
Military expenditure (current USD),MS.MIL.XPND.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Brunei Darussalam,BRN,231168587.554413,244205201.976844,415371528.964711,411261473.947038,412094279.75415,527785180.451652,424022039.167265,403366488.712977,346706804.42155,357708767.503726,414728739.002933,436548223.350254
Military expenditure (current USD),MS.MIL.XPND.CD,Bulgaria,BGR,794520547.945205,351343204.852869,757931260.042945,722052494.990309,811634330.232022,747532532.136439,632509635.003401,670592858.359724,720037970.85424,961297274.594496,2158557527.18947,1247231612.076
Military expenditure (current USD),MS.MIL.XPND.CD,Burkina Faso,BFA,84465502.3598333,36658539.0518782,138850860.201837,147729698.91896,166136345.235204,177166971.776294,147934736.66413,149467363.227452,191065838.764304,305781079.057984,357921557.517774,382464677.360491
Military expenditure (current USD),MS.MIL.XPND.CD,Burundi,BDI,39602347.3767189,42321552.2157761,..,58966662.2761714,60859500.0932422,62177294.739088,66164584.4355924,66462843.0779874,63908678.4320088,65436595.2627955,84689413.9182017,67474092.716297
